plan_level,six_bay_block_id,area_no,six_bay_block_bays,six_bay_block_total_boxes,allocation_summary
small_six_bay_block,68-SB03,68,25|27|29|31|33|35,63,453273_S021|1;453273_S022|5;453273_S023|14;453273_S024|24;453273_S027|6;453273_S031|6;453307_S029|6;453307_S030|1
small_six_bay_block,68-SB04,68,37|39|41|43|45|47,130,453273_S020|104;453273_S026|19;453273_S027|7
small_six_bay_block,68-SB05,68,49|51|53|55|57|59,40,453273_S027|16;453273_S031|24
small_six_bay_block,68-SB06,68,61|63|65|67|69|71,93,453273_S024|45;453273_S031|48
small_six_bay_block,69-SB01,69,01|03|05|07|09|11,12,453388_S007|2;453388_S016|1;453388_S038|2;453388_S039|3;453388_S040|1;453388_S056|2;453388_S057|1
small_six_bay_block,69-SB02,69,13|15|17|19|21|23,27,453388_S043|2;453388_S046|3;454585_S013|1;454585_S014|5;454585_S015|1;454585_S016|1;454585_S017|6;454585_S035|8
small_six_bay_block,69-SB03,69,25|27|29|31|33|35,17,453388_S051|2;453388_S054|15
small_six_bay_block,69-SB04,69,37|39|41|43|45|47,7,453388_S027|7
small_six_bay_block,69-SB05,69,49|51|53|55|57|59,50,453388_S024|3;453388_S025|3;453388_S034|17;453388_S051|9;453388_S053|18
small_six_bay_block,69-SB06,69,61|63|65|67|69|71,30,453388_S027|17;453388_S033|13
small_six_bay_block,6A-SB01,6A,01|03|05|07|09|11,12,453250_S008|2;453250_S009|1;453250_S018|4;453250_S019|1;453250_S020|1;453250_S024|1;453250_S025|1;453250_S026|1
small_six_bay_block,6B-SB01,6B,01|03|05|07|09|11,24,453412_S011|2;453412_S012|20;453412_S013|1;453412_S014|1
small_six_bay_block,6B-SB02,6B,13|15|17|19|21|23,18,453412_S015|10;453412_S017|6;453412_S019|2
small_six_bay_block,6B-SB04,6B,45|47|49|51|57|59,24,453412_S015|4;453412_S016|20
small_six_bay_block,70-SB01,70,01|03|11|17|19|23,4,453273_S002|4
small_six_bay_block,70-SB02,70,25|27|29|35|45|47,5,453273_S002|5
small_six_bay_block,71-SB01,71,01|03|05|07|15|37,9,453273_S002|9
