run_id,planning_time,voy_id,flow,area_no,size,planned_qty,status_name,objective_value
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,80,20,8,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,81,20,7,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,83,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,84,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,93,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,E2,20,5,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,E3,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,E4,20,8,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,E5,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,E9,20,7,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,EA,20,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,OZ,EC,20,13,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453400,T,9C,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453886,IF,7B,20,251,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453886,IF,7G,20,133,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453886,IF,7H,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453886,IF,8G,20,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,19,40,96,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,49,40,99,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,59,40,134,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,6A,40,123,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,79,40,130,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OF,89,40,134,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,11,40,3,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,12,40,1,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,13,40,2,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,1K,40,11,OPTIMAL,73649.57700583554
cbe79c980f13,2026-05-08T09:30:00,453334,OZ,21,40,1,OPTIMAL,73649.57700583554
