voy_id,flow,area_no,size,planned_qty,snapshot_qty,new_qty,planning_time,status_name,objective_value
453388,OF,69,40,85,0.0,85.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453388,OF,8A,40,85,0.0,85.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453396,OF,89,40,57,10.0,47.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453412,OF,4B,40,14,5.0,9.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453412,OF,6B,40,160,2.0,158.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453416,OF,28,40,1,0.0,1.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453416,OF,2A,40,160,59.0,101.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453416,OF,38,40,193,189.0,4.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453416,OF,4A,40,180,5.0,175.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453416,OF,5A,40,193,0.0,193.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,1B,40,63,0.0,63.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,2A,40,14,0.0,14.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,3B,40,34,0.0,34.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,49,40,63,0.0,63.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,4A,40,63,0.0,63.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,4B,40,63,1.0,62.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,59,40,2,0.0,2.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,5A,40,63,0.0,63.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,5B,40,63,0.0,63.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,69,40,63,0.0,63.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,6A,40,63,1.0,62.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454447,OF,8A,40,62,0.0,62.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454549,OF,1A,40,99,0.0,99.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454549,OF,3A,40,243,193.0,50.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454549,OF,49,40,20,0.0,20.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454549,OF,69,40,58,0.0,58.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454585,OF,59,40,68,1.0,67.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454585,OF,7A,40,78,7.0,71.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454585,OF,8B,40,11,1.0,10.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454710,OF,1B,40,18,0.0,18.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454710,OF,5A,40,18,0.0,18.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454710,OF,5B,40,18,0.0,18.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454710,OF,8A,40,18,1.0,17.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454710,OF,8B,40,18,1.0,17.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
454710,OF,E5,40,3,0.0,3.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,IF,79,40,7,0.0,7.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,IF,7B,40,54,0.0,54.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,IZ,68,40,143,0.0,143.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,10,40,18,0.0,18.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,11,40,32,0.0,32.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,E1,40,289,0.0,289.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,E2,40,215,0.0,215.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,E3,40,656,0.0,656.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,E4,40,505,0.0,505.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,E9,40,1,0.0,1.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,OZ,EA,40,119,0.0,119.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,22,40,41,0.0,41.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,24,40,85,0.0,85.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,42,40,28,0.0,28.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,43,40,160,0.0,160.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,44,40,139,0.0,139.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,52,40,22,0.0,22.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,53,40,144,0.0,144.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,62,40,19,0.0,19.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
453273,T,72,40,13,0.0,13.0,2026-05-19T09:40:00,GAPLIMIT,430718.65430659615
