voyage_id,flow,area_no,planned_boxes,size_mode,plan_date
453396,OF,59,9,40,
453396,OF,5C,10,20,
453396,OF,6B,25,20,
453396,OF,6B,247,40,
453396,OF,6C,37,20,
453396,OF,6C,191,40,
453396,OF,6G,1,40,
453396,OF,6H,4,40,
453396,OF,6K,93,20,
453396,OF,6K,321,40,
453396,OF,7D,1,40,
453396,OF,7J,74,20,
453396,OF,7J,321,40,
453396,OF,89,2,20,
453396,OF,89,10,40,
453396,OF,8A,8,20,
453396,OF,8A,99,40,
453396,OF,8B,17,40,
453396,OF,9B,111,20,
453396,OF,9B,293,40,
453396,OF,9C,113,20,
453396,OF,9C,304,40,
453396,OF,9D,19,40,
453396,OF,AB,46,20,
453396,OF,AB,202,40,
453396,OF,AC,8,20,
453396,OF,AC,71,40,
453396,OF,AD,3,20,
453396,OF,AD,41,40,
453396,OF,E1,4,40,
453396,OF,E2,2,40,
453396,OF,E4,2,20,
453396,OF,E4,39,40,
453396,OF,E5,30,40,
453396,OF,E6,18,40,
453396,OF,E7,16,40,
453396,OF,E8,3,40,
453396,OF,E9,1,40,
453396,OF,EA,44,40,
453396,OF,EB,43,40,
453396,OF,EC,2,20,
453396,OF,EC,54,40,
453396,OF,ED,57,40,
453396,OF,EE,2,40,
453396,OZ,10,6,40,
453396,OZ,11,2,20,
453396,OZ,11,7,40,
453396,OZ,12,1,20,
453396,OZ,12,6,40,
453396,OZ,30,1,20,
453396,OZ,31,5,40,
453396,OZ,40,1,40,
453396,OZ,41,2,40,
453396,OZ,51,17,20,
453396,OZ,51,7,40,
453396,OZ,60,1,20,
453396,OZ,60,7,40,
453396,OZ,61,9,40,
453396,OZ,70,5,20,
453396,OZ,70,4,40,
453396,OZ,71,3,20,
453396,OZ,71,7,40,
453396,OZ,80,8,20,
453396,OZ,80,7,40,
453396,OZ,81,8,20,
453396,OZ,81,5,40,
453396,OZ,E1,15,40,
453396,OZ,E2,1,20,
453396,OZ,E2,14,40,
453396,OZ,E3,1,20,
453396,OZ,E3,3,40,
453396,OZ,E4,1,20,
453396,OZ,E4,21,40,
453396,OZ,E5,8,40,
453396,OZ,E6,3,40,
453396,OZ,E8,7,40,
453396,OZ,E9,7,40,
453396,OZ,EA,3,20,
453396,OZ,EA,12,40,
453396,OZ,EB,11,40,
453396,OZ,EC,12,40,
453396,T,13,8,20,
453396,T,13,8,40,
453396,T,14,8,20,
453396,T,14,29,40,
453396,T,15,10,20,
453396,T,15,34,40,
453396,T,16,1,20,
453396,T,16,16,40,
453396,T,17,1,20,
453396,T,17,10,40,
453396,T,22,1,40,
453396,T,23,5,40,
453396,T,24,1,20,
453396,T,24,18,40,
453396,T,26,2,20,
453396,T,26,28,40,
453396,T,27,1,20,
453396,T,27,1,40,
453396,T,32,11,20,
453396,T,32,3,40,
453396,T,33,9,20,
453396,T,33,6,40,
453396,T,37,1,40,
453396,T,42,2,20,
453396,T,42,12,40,
453396,T,43,4,20,
453396,T,43,15,40,
453396,T,44,2,40,
453396,T,45,12,40,
453396,T,46,12,20,
453396,T,46,44,40,
453396,T,47,6,40,
453396,T,52,4,20,
453396,T,52,3,40,
453396,T,53,16,40,
453396,T,54,1,20,
453396,T,55,3,40,
453396,T,57,1,40,
453396,T,62,5,40,
453396,T,63,3,20,
453396,T,63,2,40,
453396,T,64,2,20,
453396,T,65,1,20,
453396,T,66,6,40,
453396,T,72,6,20,
453396,T,72,13,40,
453396,T,73,1,20,
453396,T,73,4,40,
453396,T,74,1,20,
453396,T,75,2,20,
453396,T,76,5,20,
453396,T,76,2,40,
453396,T,77,1,20,
