plan_level,voyage_id,group_id,demand_source,flow,port,size,height,weight_class,special_stow,special_stow_code,area_no,bay_no,row_no,row_allocation,six_bay_block_id,six_bay_block_bays,six_bay_block_total_boxes,planned_boxes,IYC_CHEIGHTCD,IYC_CSZ_CSIZECD,IYC_CWEIGHT,IYC_POT_UNLDPORT,IYC_EVOY_ID
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,25,04,4B|25:04:5|4B|27:04:5,4B-SB03,25|27|29|31|33|35,56,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,25,05,4B|25:05:4|4B|27:05:4,4B-SB03,25|27|29|31|33|35,56,4,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,25,06,4B|25:06:3|4B|27:06:3,4B-SB03,25|27|29|31|33|35,56,3,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,37,01,4B|37:01:4|4B|39:01:4,4B-SB04,37|39|41|43|45|47,26,4,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,37,02,4B|37:02:5|4B|39:02:5,4B-SB04,37|39|41|43|45|47,26,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,37,03,4B|37:03:5|4B|39:03:5,4B-SB04,37|39|41|43|45|47,26,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,37,04,4B|37:04:5|4B|39:04:5,4B-SB04,37|39|41|43|45|47,26,5,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,37,05,4B|37:05:4|4B|39:05:4,4B-SB04,37|39|41|43|45|47,26,4,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,4B,37,06,4B|37:06:3|4B|39:06:3,4B-SB04,37|39|41|43|45|47,26,3,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,01,04,51|01:04:1|51|03:04:1,51-SB01,01|03|21|23|25|27,10,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,21,01,51|21:01:1|51|23:01:1,51-SB01,01|03|21|23|25|27,10,1,HQ,40,1,CNSHA,
small,453273,453273_S002,document,IE,CNSHA,40,HQ,1,False,NORMAL,51,21,03,51|21:03:1|51|23:03:1,51-SB01,01|03|21|23|25|27,10,1,HQ,40,1,CNSHA,
