area_no,work_type,has_position,voy_id,planned_qty
70,OZ,1,453324,8
70,OZ,1,453352,1
70,OZ,1,453356,2
70,OZ,1,453388,2
70,OZ,1,453396,19
70,OZ,1,453412,13
70,OZ,1,453416,11
70,OZ,1,454447,4
70,OZ,1,454585,2
71,OZ,1,453308,7
71,OZ,1,453324,15
71,OZ,1,453352,1
71,OZ,1,453356,5
71,OZ,1,453388,3
71,OZ,1,453396,25
71,OZ,1,453412,11
71,OZ,1,453416,9
71,OZ,1,454447,3
71,OZ,1,454585,1
72,T,1,453273,13
72,T,1,453307,13
72,T,1,453308,11
72,T,1,453324,10
72,T,1,453356,3
72,T,1,453388,5
72,T,1,453396,33
72,T,1,453412,16
72,T,1,453416,16
72,T,1,454447,4
72,T,1,454548,13
72,T,1,454585,5
73,T,1,453273,15
73,T,1,453307,15
73,T,1,453308,8
73,T,1,453324,23
73,T,1,453356,4
73,T,1,453396,11
73,T,1,453412,17
73,T,1,453416,2
73,T,1,454447,1
73,T,1,454548,15
73,T,1,454585,9
74,T,1,453273,123
74,T,1,453308,3
74,T,1,453324,6
74,T,1,453352,7
74,T,1,453356,9
74,T,1,453396,4
74,T,1,453412,3
74,T,1,453416,4
75,T,1,453307,211
75,T,1,453308,5
75,T,1,453324,15
75,T,1,453356,8
75,T,1,453388,11
75,T,1,453396,10
75,T,1,453412,2
75,T,1,453416,5
75,T,1,454447,4
75,T,1,454585,6
76,T,1,453308,19
76,T,1,453324,12
76,T,1,453356,1
76,T,1,453396,70
76,T,1,453412,11
76,T,1,453416,11
76,T,1,454447,2
76,T,1,454585,5
77,T,1,453308,4
77,T,1,453324,3
77,T,1,453356,2
77,T,1,453388,22
77,T,1,453396,2
77,T,1,453412,3
78,IZ,1,453308,9
78,IZ,1,453324,15
78,IZ,1,453356,4
78,IZ,1,453396,12
78,IZ,1,453412,8
78,IZ,1,453416,12
78,IZ,1,454447,1
78,IZ,1,454585,11
79,OF,1,453273,123
79,OF,1,453307,321
79,OF,1,453324,1
7A,OF,1,453308,1
7A,OF,1,453412,454
7A,OF,1,454585,79
7B,IF,1,453307,253
7B,IF,1,453396,1
7C,OF,1,453308,5
7C,OF,1,454447,67
7D,OF,1,453308,5
7D,OF,1,453396,1
7D,OF,1,454447,20
7G,IF,1,453307,282
7G,IF,1,454548,2
7H,IF,1,453307,252
7H,IF,1,453416,1
7J,OF,1,453396,403
80,OZ,1,453308,12
80,OZ,1,453324,11
80,OZ,1,453352,2
80,OZ,1,453388,2
80,OZ,1,453396,19
80,OZ,1,453412,10
80,OZ,1,453416,2
80,OZ,1,454447,2
80,OZ,1,454585,2
81,OZ,1,453308,10
81,OZ,1,453324,19
81,OZ,1,453352,1
81,OZ,1,453356,8
81,OZ,1,453388,2
81,OZ,1,453396,32
81,OZ,1,453412,25
81,OZ,1,453416,9
81,OZ,1,454447,1
81,OZ,1,454585,4
82,T,1,453308,12
82,T,1,453324,6
82,T,1,453356,3
82,T,1,453388,1
82,T,1,453396,22
82,T,1,453412,7
82,T,1,453416,6
82,T,1,454447,2
82,T,1,454585,13
83,T,1,453273,401
83,T,1,453308,4
83,T,1,453324,13
83,T,1,453352,1
83,T,1,453356,9
83,T,1,453388,3
83,T,1,453396,32
83,T,1,453412,14
83,T,1,453416,4
83,T,1,454447,1
83,T,1,454585,4
84,T,1,453308,1
84,T,1,453324,1
84,T,1,453356,4
84,T,1,453388,1
84,T,1,453396,6
84,T,1,453412,4
84,T,1,453416,7
84,T,1,454585,9
85,T,1,453308,2
85,T,1,453324,14
85,T,1,453356,1
85,T,1,453388,2
85,T,1,453396,10
85,T,1,453412,10
85,T,1,453416,2
85,T,1,454548,302
85,T,1,454585,1
86,T,1,453308,3
86,T,1,453324,7
86,T,1,453356,3
86,T,1,453396,15
86,T,1,453412,12
86,T,1,453416,14
86,T,1,454447,1
86,T,1,454585,8
87,T,1,453308,1
87,T,1,453324,3
87,T,1,453356,10
